,address,updateAt,text,entity
0,PAYTMB,"Sat, 7 May 2022 19:48:00 UTC",Received Rs.600.00 in your a/c 91XX3635 from One97 Communications Limited on 6-5-2022.Ref no: 5C05RA03uMM5. Queries? Call 01204456456 :PPBL,PAYTM PAYMENTS BANK LIMITED
1,PAYTMB,"Tue, 3 May 2022 08:53:39 UTC",PPBL savings a/c 917973045759 is blocked for incoming & outgoing txns due to no activity in last 2 yrs. Visit http://m.p-y.tm/dormantact to re-activate,
3,PAYTMB,"Tue, 3 May 2022 08:53:39 UTC",Dlocal is requesting payment of Rs.79. Pay from your Bank Account linked on Paytm App now http://m.p-y.tm/UPIpas :PPBL,PAYTM PAYMENTS BANK LIMITED
4,PAYTMB,"Tue, 3 May 2022 08:53:39 UTC",Razorpayzomato is requesting payment of Rs.1500. Pay from your Bank Account linked on Paytm App now http://m.p-y.tm/UPIpas :PPBL,PAYTM PAYMENTS BANK LIMITED
5,PAYTMB,"Tue, 3 May 2022 08:53:39 UTC",Razorpayzomato is requesting payment of Rs.1000. Pay from your Bank Account linked on Paytm App now http://m.p-y.tm/UPIpas :PPBL,PAYTM PAYMENTS BANK LIMITED
6,PAYTMB,"Tue, 3 May 2022 08:53:39 UTC",Razorpayzomato is requesting payment of Rs.500. Pay from your Bank Account linked on Paytm App now http://m.p-y.tm/UPIpas :PPBL,
8,PAYTMB,"Wed, 4 May 2022 08:57:58 UTC",PPBL savings a/c 917973045759 is blocked for incoming & outgoing txns due to no activity in last 2 yrs. Visit http://m.p-y.tm/dormantact to re-activate,
10,PAYTMB,"Wed, 4 May 2022 08:57:58 UTC",Dlocal is requesting payment of Rs.79. Pay from your Bank Account linked on Paytm App now http://m.p-y.tm/UPIpas :PPBL,PAYTM PAYMENTS BANK LIMITED
11,PAYTMB,"Wed, 4 May 2022 08:57:58 UTC",Razorpayzomato is requesting payment of Rs.1500. Pay from your Bank Account linked on Paytm App now http://m.p-y.tm/UPIpas :PPBL,PAYTM PAYMENTS BANK LIMITED
12,PAYTMB,"Wed, 4 May 2022 08:57:58 UTC",Razorpayzomato is requesting payment of Rs.1000. Pay from your Bank Account linked on Paytm App now http://m.p-y.tm/UPIpas :PPBL,PAYTM PAYMENTS BANK LIMITED
13,PAYTMB,"Wed, 4 May 2022 08:57:58 UTC",Razorpayzomato is requesting payment of Rs.500. Pay from your Bank Account linked on Paytm App now http://m.p-y.tm/UPIpas :PPBL,
15,PAYTMB,"Thu, 5 May 2022 13:48:42 UTC",UPI registration for your Paytm App has begun. If you didn't do it then report immediately at 01204456456. Never share your card details/OTP/CVV :PPBL,PAYTM PAYMENTS BANK LIMITED
16,PAYTMB,"Thu, 5 May 2022 13:48:42 UTC",UPI registration for your Paytm App has begun. If you didn't do it then report immediately at 01204456456. Never share your card details/OTP/CVV :PPBL,PAYTM PAYMENTS BANK LIMITED
